,,
,,
Order Date,Sum of Sales,Sum of Profit
1/4/2011,16,6
1/5/2011,288,-66
1/6/2011,20,5
1/7/2011,4407,1358
1/8/2011,87,-72
1/10/2011,41,11
1/11/2011,55,23
1/12/2011,10,3
1/14/2011,3554,674
1/15/2011,62,-53
1/16/2011,150,66
1/17/2011,300,-6
1/19/2011,65,6
1/20/2011,379,-288
1/21/2011,2674,584
1/22/2011,25,4
1/24/2011,46,19
1/27/2011,1097,150
1/28/2011,427,10
1/29/2011,4,1
1/31/2011,241,12
2/1/2011,291,3
2/2/2011,469,206
2/3/2011,212,7
2/4/2011,97,32
2/5/2011,134,51
2/7/2011,331,76
2/8/2011,180,59
2/9/2011,15,6
2/12/2011,2043,294
2/13/2011,130,-24
2/15/2011,577,120
2/16/2011,21,7
2/17/2011,9,-16
2/18/2011,54,9
2/19/2011,38,-14
2/21/2011,96,36
2/22/2011,9,-14
2/23/2011,19,9
2/24/2011,11,-5
2/25/2011,56,19
2/28/2011,19,3
3/1/2011,2203,-209
3/2/2011,202,56
3/3/2011,1346,-630
3/4/2011,370,20
3/5/2011,706,261
3/7/2011,1561,134
3/10/2011,742,4
3/11/2011,918,279
3/14/2011,2109,529
3/15/2011,371,34
3/16/2011,472,29
3/17/2011,3960,-832
3/18/2011,28107,-955
3/19/2011,591,69
3/21/2011,4110,1055
3/22/2011,464,-51
3/23/2011,945,127
3/24/2011,65,26
3/25/2011,459,97
3/26/2011,145,31
3/28/2011,1824,-11
3/29/2011,891,-153
3/30/2011,1170,233
3/31/2011,1960,355
4/1/2011,120,26
4/2/2011,1459,407
4/3/2011,233,86
4/4/2011,476,105
4/5/2011,5295,254
4/6/2011,1651,300
4/7/2011,1021,305
4/8/2011,1959,360
4/11/2011,1915,523
4/12/2011,1912,153
4/13/2011,639,-385
4/15/2011,295,108
4/16/2011,39,10
4/18/2011,1021,170
4/19/2011,205,88
4/20/2011,1250,-194
4/21/2011,845,6
4/22/2011,258,125
4/23/2011,644,0
4/25/2011,2380,333
4/26/2011,283,41
4/28/2011,2578,292
4/29/2011,769,102
4/30/2011,1049,276
5/2/2011,506,92
5/3/2011,73,29
5/4/2011,187,59
5/5/2011,261,35
5/6/2011,254,86
5/7/2011,1091,216
5/8/2011,1800,240
5/9/2011,394,95
5/10/2011,2344,58
5/11/2011,1643,-290
5/12/2011,735,-119
5/13/2011,898,-242
5/14/2011,311,23
5/16/2011,289,21
5/17/2011,92,46
5/18/2011,949,-158
5/19/2011,92,36
5/20/2011,320,62
5/21/2011,4264,1720
5/22/2011,181,47
5/23/2011,324,58
5/24/2011,116,57
5/25/2011,120,-184
5/26/2011,1326,131
5/27/2011,2157,112
5/28/2011,222,59
5/30/2011,1925,222
5/31/2011,774,231
6/1/2011,5189,1577
6/2/2011,739,218
6/3/2011,741,96
6/4/2011,456,-6
6/6/2011,1374,-265
6/7/2011,281,-230
6/8/2011,2501,193
6/9/2011,5463,629
6/10/2011,492,241
6/13/2011,15,5
6/14/2011,213,57
6/15/2011,943,-78
6/16/2011,764,77
6/17/2011,3419,1127
6/18/2011,140,12
6/20/2011,1829,-63
6/21/2011,4107,849
6/22/2011,1975,40
6/23/2011,109,3
6/24/2011,4,1
6/25/2011,793,50
6/27/2011,616,76
6/28/2011,1646,110
6/29/2011,47,9
6/30/2011,740,250
7/1/2011,601,75
7/2/2011,80,22
7/4/2011,247,84
7/5/2011,1444,183
7/6/2011,1038,223
7/7/2011,241,-35
7/8/2011,763,-8
7/9/2011,266,57
7/11/2011,2187,538
7/12/2011,1960,88
7/13/2011,351,4
7/14/2011,293,-31
7/15/2011,10,4
7/18/2011,273,-21
7/19/2011,461,103
7/20/2011,2286,162
7/21/2011,1961,34
7/22/2011,1348,230
7/23/2011,2613,267
7/25/2011,8341,385
7/26/2011,5040,-3571
7/27/2011,580,70
7/28/2011,193,35
7/30/2011,1368,260
8/1/2011,228,66
8/2/2011,886,248
8/3/2011,478,-77
8/4/2011,2743,833
8/5/2011,2409,504
8/6/2011,263,107
8/8/2011,3956,1129
8/9/2011,3606,701
8/11/2011,452,46
8/12/2011,1832,358
8/15/2011,843,118
8/16/2011,853,-227
8/17/2011,500,193
8/19/2011,1439,175
8/20/2011,1839,570
8/22/2011,23,5
8/23/2011,565,160
8/24/2011,60,20
8/25/2011,1452,119
8/26/2011,367,92
8/27/2011,2070,514
8/29/2011,832,-376
8/30/2011,121,21
8/31/2011,93,19
9/1/2011,469,86
9/2/2011,3254,916
9/3/2011,22,-4
9/5/2011,296,22
9/6/2011,100,40
9/7/2011,3524,-481
9/8/2011,14228,-1453
9/9/2011,4044,16
9/10/2011,1855,260
9/11/2011,128,22
9/12/2011,4905,601
9/13/2011,1275,244
9/14/2011,5024,1531
9/15/2011,133,30
9/16/2011,34,13
9/17/2011,821,234
9/19/2011,9339,-1539
9/20/2011,5336,670
9/21/2011,2680,877
9/22/2011,1240,87
9/23/2011,10662,4809
9/24/2011,212,8
9/25/2011,355,-88
9/26/2011,1481,231
9/27/2011,773,123
9/28/2011,490,64
9/29/2011,8109,890
9/30/2011,988,119
10/1/2011,5,0
10/2/2011,598,134
10/3/2011,863,-65
10/4/2011,729,45
10/5/2011,192,46
10/6/2011,495,50
10/7/2011,237,32
10/8/2011,147,61
10/9/2011,249,70
10/10/2011,2049,170
10/11/2011,1381,111
10/12/2011,59,13
